CATEGORY,PERS_STAR_NO,PERS_LAST_NME,PERS_FIRST_NME,DESCR
20A,17839,BINGAMAN,KYLE,POLICE OFFICER
20A,17294,DOMER,EMILE,POLICE OFFICER
20A,3306,MCDONNELL,MARTIN,POLICE OFFICER
20A,18578,NYKIEL,CRAIG,POLICE OFFICER
20A,13704,STREEPER,JASON,POLICE OFFICER
20A,3085,PONTO,JAMES,POLICE OFFICER
20A,16841,VAZQUEZ,MARIA,POLICE OFFICER
20A,14620,SCADUTO,BRADLEY,POLICE OFFICER
20A,4632,BLACKBURN,DARRION,POLICE OFFICER
20A,10720,DELGADO,JESUS,POLICE OFFICER
20A,8496,STRAZZANTE,PHILIP,POLICE OFFICER
20A,17088,NICHOLS,JAMES,PO/FIELD TRNING OFF
20A,8781,JOHNSON,MARK,PO/FIELD TRNING OFF
20A,20686,GLADNEY,ALISA,PO AS DETECTIVE
